Rk,Player,Tm,Age,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Jimmy Graham,NOR,28,2,2,18,200,11.1,2,23,9.0,100.0,0
2,Jordy Nelson,GNB,29,2,2,18,292,16.2,1,80,9.0,146.0,0
3,Martellus Bennett,CHI,27,2,1,15,107,7.1,2,17,7.5,53.5,0
4,Dez Bryant,DAL,26,2,2,14,158,11.3,1,22,7.0,79.0,0
5,Andrew Hawkins,CLE,28,2,2,14,157,11.2,0,28,7.0,78.5,0
6,Julio Jones,ATL,25,2,2,14,204,14.6,1,27,7.0,102.0,1
7,Greg Olsen,CAR,29,2,2,14,155,11.1,1,22,7.0,77.5,0
8,Brian Quick,STL,25,2,2,14,173,12.4,0,23,7.0,86.5,0
9,Emmanuel Sanders,DEN,27,2,2,14,185,13.2,0,48,7.0,92.5,0
10,Matt Forte,CHI,29,2,2,13,102,7.8,0,18,6.5,51.0,0
11,Antonio Gates,SDG,34,2,2,13,177,13.6,3,34,6.5,88.5,0
12,Calvin Johnson,DET,29,2,2,13,247,19.0,2,67,6.5,123.5,0
13,Brandon Marshall,CHI,30,2,2,13,119,9.2,4,17,6.5,59.5,1
14,Dennis Pitta,BAL,29,2,2,13,113,8.7,0,24,6.5,56.5,0
15,Steve Smith,BAL,35,2,2,13,189,14.5,1,80,6.5,94.5,0
16,Delanie Walker,TEN,30,2,2,13,179,13.8,2,61,6.5,89.5,1
17,Antonio Brown,PIT,26,2,2,12,206,17.2,1,41,6.0,103.0,0
18,Larry Donnell,NYG,26,2,1,12,137,11.4,1,23,6.0,68.5,0
19,Julian Edelman,NWE,28,2,2,12,176,14.7,1,44,6.0,88.0,2
20,Andre Johnson,HOU,33,2,2,12,167,13.9,0,23,6.0,83.5,0
21,James Jones,OAK,30,2,0,12,146,12.2,2,42,6.0,73.0,2
22,Niles Paul,WAS,25,2,0,12,185,15.4,1,48,6.0,92.5,1
23,Mike Wallace,MIA,28,2,2,12,137,11.4,2,22,6.0,68.5,1
24,Le'Veon Bell,PIT,22,2,2,11,136,12.4,0,30,5.5,68.0,0
25,Giovani Bernard,CIN,23,2,2,11,141,12.8,0,46,5.5,70.5,0
26,Randall Cobb,GNB,24,2,2,11,97,8.8,3,23,5.5,48.5,0
27,Pierre Garcon,WAS,28,2,2,11,89,8.1,0,15,5.5,44.5,0
28,Golden Tate,DET,26,2,2,11,150,13.6,0,44,5.5,75.0,1
29,Julius Thomas,DEN,26,2,2,11,143,13.0,4,35,5.5,71.5,1
30,Sammy Watkins,BUF,21,2,2,11,148,13.5,1,30,5.5,74.0,0
31,Markus Wheaton,PIT,23,2,2,11,135,12.3,0,40,5.5,67.5,0
32,Keenan Allen,SDG,22,2,2,10,92,9.2,0,14,5.0,46.0,0
33,Donnie Avery,KAN,30,2,2,10,98,9.8,0,25,5.0,49.0,0
34,Anquan Boldin,SFO,34,2,2,10,133,13.3,0,37,5.0,66.5,0
35,Brandin Cooks,NOR,21,2,1,10,94,9.4,1,32,5.0,47.0,0
36,Harry Douglas,ATL,30,2,1,10,107,10.7,0,23,5.0,53.5,0
37,Roddy White,ATL,33,2,2,10,114,11.4,1,39,5.0,57.0,0
38,Charles Clay,MIA,25,2,2,9,58,6.4,0,24,4.5,29.0,0
39,Michael Crabtree,SFO,27,2,2,9,107,11.9,1,24,4.5,53.5,0
40,Owen Daniels,BAL,32,2,1,9,62,6.9,2,12,4.5,31.0,0
41,Eric Decker,NYJ,27,2,2,9,137,15.2,1,29,4.5,68.5,0
42,Mike Evans,TAM,21,2,2,9,86,9.6,0,29,4.5,43.0,0
43,Justin Forsett,BAL,29,2,0,9,30,3.3,0,9,4.5,15.0,0
44,DeSean Jackson,WAS,28,2,2,9,81,9.0,0,19,4.5,40.5,0
45,Demaryius Thomas,DEN,27,2,2,9,110,12.2,1,26,4.5,55.0,0
46,Pierre Thomas,NOR,30,2,1,9,74,8.2,0,19,4.5,37.0,0
47,Reggie Wayne,IND,36,1,1,9,98,10.9,0,22,9.0,98.0,0
48,Kendall Wright,TEN,25,2,2,9,77,8.6,1,14,4.5,38.5,0
49,Miles Austin,CLE,30,2,2,8,64,8.0,1,17,4.0,32.0,0
50,Kelvin Benjamin,CAR,23,2,2,8,138,17.3,1,26,4.0,69.0,0
51,Reggie Bush,DET,29,2,2,8,55,6.9,0,24,4.0,27.5,0
52,Jared Cook,STL,27,2,1,8,102,12.8,0,26,4.0,51.0,0
53,Jerricho Cotchery,CAR,32,2,2,8,78,9.8,0,16,4.0,39.0,0
54,Rob Gronkowski,NWE,25,2,1,8,72,9.0,1,18,4.0,36.0,0
55,Percy Harvin,SEA,26,2,2,8,64,8.0,0,33,4.0,32.0,2
56,Vincent Jackson,TAM,31,2,2,8,87,10.9,0,20,4.0,43.5,0
57,Alshon Jeffery,CHI,24,2,2,8,118,14.8,0,44,4.0,59.0,0
58,Rashad Jennings,NYG,29,2,2,8,95,11.9,0,21,4.0,47.5,1
59,Jeremy Kerley,NYJ,26,2,1,8,60,7.5,0,19,4.0,30.0,0
60,Marqise Lee,JAX,23,2,2,8,73,9.1,0,18,4.0,36.5,0
61,Marcedes Lewis,JAX,30,2,2,8,106,13.3,1,63,4.0,53.0,0
62,Brandon Myers,TAM,29,2,2,8,74,9.3,0,24,4.0,37.0,0
63,Mychal Rivera,OAK,24,2,2,8,62,7.8,0,13,4.0,31.0,1
64,Eddie Royal,SDG,28,2,1,8,89,11.1,0,20,4.0,44.5,0
65,Joique Bell,DET,28,2,0,7,66,9.4,0,19,3.5,33.0,2
66,Victor Cruz,NYG,28,2,2,7,84,12.0,0,27,3.5,42.0,0
